Wine;link;image_names;image_link
Langhe Favorita Terre dei Laramé 2022;https://www.vivino.com/IT/en/cantine-povero-asti-langhe-favorita-terre-dei-larame-2022/w/1832214;images/LangheFavoritaTerredeiLaramé2022.png;https://images.vivino.com/thumbs/KdvIWnS8TIOHdoYavYVRkw_pb_x600.png
Casareggio Barbera d'Asti 2021;https://www.vivino.com/IT/en/agostino-pavia-figli-casareggio-barbera-d-asti-2021/w/1207585;images/CasareggioBarberad'Asti2021.png;https://images.vivino.com/thumbs/afFI7tAmR2OJsm2xZIpN8Q_pb_x600.png
Maddalena Gavi del Comune di Gavi 2021;https://www.vivino.com/IT/en/produttori-del-gavi-maddalena-2021/w/4916588;images/MaddalenaGavidelComunediGavi2021.png;https://images.vivino.com/thumbs/rOG5p0ZjQcmbkdyfQWw1_w_pb_x600.png
Cortese 2022;https://www.vivino.com/IT/en/sacco-cortese-2022/w/2778980;images/Cortese2022.png;https://images.vivino.com/thumbs/w_ctZh20Tx2QDrg5TpIFRA_pb_x600.png
Montej Bianco 2021;https://www.vivino.com/IT/en/villa-sparina-montej-bianco-2021/w/1138242;images/MontejBianco2021.png;https://images.vivino.com/thumbs/r3fTSLCyR5udLF66Wwhmsg_pb_x600.png
Vespa Barbera d'Asti 2020;https://www.vivino.com/IT/en/cascina-castlet-vespa-barbera-d-asti-2020/w/1165373;images/VespaBarberad'Asti2020.png;https://images.vivino.com/thumbs/afgRZepUSkaMyDsMjobqEA_pb_x600.png
Gavi 2022;https://www.vivino.com/IT/en/fratelli-dezzani-srl-gavi-2022/w/9416251;images/Gavi2022.png;https://images.vivino.com/thumbs/H_6bp_y8SIWqZvh1r00PNw_pb_x600.png
Brachetto d'Acqui Il Furetto 2022;https://www.vivino.com/IT/en/vite-colte-brachetto-d-acqui-il-furetto-2022/w/3041829;images/Brachettod'AcquiIlFuretto2022.png;https://images.vivino.com/thumbs/DDb8Vkc5R1CSegW4v6mbdA_pb_x600.png
Langhe Chardonnay 2022;https://www.vivino.com/IT/en/lanata-85822-langhe-chardonnay-2022/w/1240420;images/LangheChardonnay2022.png;https://images.vivino.com/thumbs/HM0Q2zJ3Tr-ztJaaIeA2xQ_pb_x600.png
Piemonte Rosso 2018;https://www.vivino.com/IT/en/lanata-85822-piemonte-rosso-2018/w/4559276;images/PiemonteRosso2018.png;https://images.vivino.com/thumbs/Eq8NuPQATYqPsZRbllul3g_pb_x600.png
Sansilvestro Regina Barbera d'Asti 2020;https://www.vivino.com/IT/en/corte-lombardina-sansilvestro-regina-barbera-d-asti-2020/w/6606734;images/SansilvestroReginaBarberad'Asti2020.png;https://images.vivino.com/thumbs/vTleVGrNQQa6OslmbXe8mA_pb_x600.png
Bio Gavi del Comune di Gavi 2021;https://www.vivino.com/IT/en/produttori-del-gavi-bio-gavi-del-comune-di-gavi-2021/w/7396181;images/BioGavidelComunediGavi2021.png;https://images.vivino.com/thumbs/EUNPFswCSfe5J5huoQGzRA_pb_x600.png
Barbera d'Asti 2020;https://www.vivino.com/IT/en/tenuta-la-crosa-barbera-d-asti-2020/w/1570733;images/Barberad'Asti2020.png;https://images.vivino.com/thumbs/a8RaV8LvTsC5xK2_5Jqyvw_150x200.jpg
Lirico Monferrato Chiaretto 2022;https://www.vivino.com/IT/en/cascina-gilli-lirico-monferrato-chiaretto-2022/w/5780398;images/LiricoMonferratoChiaretto2022.png;https://images.vivino.com/thumbs/uODGSDe0RIWs5snX3pn3XA_pb_x600.png
Monferrato Bianco 2022;https://www.vivino.com/IT/en/fratelli-dezzani-srl-monferrato-bianco-2022/w/8362258;images/MonferratoBianco2022.png;https://images.vivino.com/thumbs/DmmYEsZiRUyrUSZzSHfhYQ_pb_x600.png
Gavi 2022;https://www.vivino.com/IT/en/antica-casa-aresca-gavi-2022/w/2772068;images/Gavi2022.png;https://images.vivino.com/thumbs/nZ3LUH03TjObByrP_AZRBQ_pb_x600.png
Albarossa 2021;https://www.vivino.com/IT/en/fratelli-dezzani-srl-albarossa-2021/w/8710881;images/Albarossa2021.png;https://images.vivino.com/thumbs/hdLKpme5T3iXjtwunmON0g_pb_x600.png
G Gavi 2020;https://www.vivino.com/IT/en/produttori-del-gavi-g-gavi-2020/w/4379250;images/GGavi2020.png;https://images.vivino.com/thumbs/ABakSoStQ7OQrMpQo21WSw_pb_x600.png
Roero Arneis 2022;https://www.vivino.com/IT/en/giacosa-roero-arneis-2022/w/1196381;images/RoeroArneis2022.png;https://images.vivino.com/thumbs/9fnnSrZ_TRiUxthfUTlisg_pb_x600.png
Terre dei Roggeri Grignolino d'Asti 2022;https://www.vivino.com/IT/en/castagnole-monferrato-terre-dei-roggeri-grignolino-d-asti-2022/w/2249659;images/TerredeiRoggeriGrignolinod'Asti2022.png;https://images.vivino.com/thumbs/oJgV8u3YRe-xzizvIURhMA_pb_x600.png
Roero Arneis 2022;https://www.vivino.com/IT/en/antica-casa-aresca-roero-arneis-2022/w/6509283;images/RoeroArneis2022.png;https://images.vivino.com/thumbs/QEDNZtbXRv6GA8znohEokg_pb_x600.png
Roero Arneis 2022;https://www.vivino.com/IT/en/fratelli-dezzani-srl-roero-arneis-2022/w/8711476;images/RoeroArneis2022.png;https://images.vivino.com/thumbs/P1YHKBStSaqUJbd_PC1XAw_pb_x600.png
Servaj Favorita 2020;https://www.vivino.com/IT/en/deltetto-servaj-favorita-2020/w/1194883;images/ServajFavorita2020.png;https://images.vivino.com/thumbs/55LHCiHcRMKP0AcymgMGSQ_pb_x600.png
La Mattacchiona 2021;https://www.vivino.com/IT/en/accornero-la-mattacchiona-2021/w/2310273;images/LaMattacchiona2021.png;https://images.vivino.com/thumbs/Qi5CmDBFTjSzZ1xTCRc7gg_pb_x600.png
Campo Moro Barbera Piemonte 2021;https://www.vivino.com/IT/en/accornero-campo-moro-barbera-piemonte-2021/w/1506275;images/CampoMoroBarberaPiemonte2021.png;https://images.vivino.com/thumbs/HaKRiB1ZS5SrN3AEccat6g_pb_x600.png
La Briosa Barbera del Monferrato 2021;https://www.vivino.com/IT/en/montalbera-la-briosa-barbera-del-monferrato-2021/w/1146644;images/LaBriosaBarberadelMonferrato2021.png;https://images.vivino.com/thumbs/01d9r7brzlq0a_150x200.jpg
Solo Acciaio Barbera d'Asti 2021;https://www.vivino.com/IT/en/montalbera-solo-acciaio-barbera-d-asti-2021/w/4375852;images/SoloAcciaioBarberad'Asti2021.png;https://images.vivino.com/thumbs/m0wF45LSQGWjwu325yfT9Q_pb_x600.png
Asti Dolce N.V.;https://www.vivino.com/IT/en/fontanafredda-asti-dolce-nv/w/92555;images/AstiDolceN.V..png;https://images.vivino.com/thumbs/iHcQIU1nQ8ehHx8sbHFo9A_pb_x600.png
Dolcetto Langhe 2019;https://www.vivino.com/IT/en/giuseppe-cortese-dolcetto-langhe-2019/w/8786790;images/DolcettoLanghe2019.png;https://images.vivino.com/thumbs/xI7KETAqRpWLWe8pukMPUw_pb_x600.png
Palás Barbera d'Asti 2018;https://www.vivino.com/IT/en/michele-chiarlo-palas-barbera-d-asti-2018/w/3234965;images/PalásBarberad'Asti2018.png;https://images.vivino.com/thumbs/NSW95rf1S_il1z4YGLQ3WA_pb_x600.png
Gran Cinzano Spumante Dolce N.V.;https://www.vivino.com/IT/en/cinzano-campari-group-gran-cinzano-spumante-dolce-nv/w/1528936;images/GranCinzanoSpumanteDolceN.V..png;https://images.vivino.com/thumbs/VzUXJHoOQXW5H8OcSnsFgQ_pb_x600.png
Brachetto d'Acqui Dolce Spumante 2019;https://www.vivino.com/IT/en/duchessa-lia-brachetto-d-acqui-dolce-spumante-2019/w/1241269;images/Brachettod'AcquiDolceSpumante2019.png;https://images.vivino.com/thumbs/3SqRwjXYRX2OAzdpihGx_g_pb_x600.png
Langhe Chardonnay 2021;https://www.vivino.com/IT/en/lanata-85822-langhe-chardonnay-2021/w/1240420;images/LangheChardonnay2021.png;https://images.vivino.com/thumbs/HM0Q2zJ3Tr-ztJaaIeA2xQ_pb_x600.png
Terre del Conte in Canale d'Alba Roero Arneis 2022;https://www.vivino.com/IT/en/tenuta-larame-terre-del-conte-in-canale-d-alba-roero-arneis-2022/w/1722830;images/TerredelConteinCanaled'AlbaRoeroArneis2022.png;https://images.vivino.com/thumbs/BqAKjNe3RQW_TIvOtXUxHA_pb_x600.png
