Wine,link,Link_wine,image_link,image_names
Chianti Classico 2016,https://www.vivino.com/IT/en/la-mandria-chianti-classico-chianti-2016/w/2392699,https://www.wine-searcher.com/find/la+mandria+chianti+classico+chianti/2016/#t4,https://images.vivino.com/thumbs/zPLSZJ9ZTumDnShFwUnyWw_150x200.jpg,ChiantiClassico2016.png
Privo Maremma Toscana 2017,https://www.vivino.com/IT/en/laselva-privo-maremma-toscana-2017/w/1776333,https://www.wine-searcher.com/find/laselva+privo+maremma+toscana/2017/#t4,https://images.vivino.com/thumbs/AvG8ppIKRDOgOKxN3s5uuw_150x200.jpg,PrivoMaremmaToscana2017.png
Vermentino Toscana 2021,https://www.vivino.com/IT/en/it-villa-poggio-salvi-vermentino-toscana-2021/w/1374952,https://www.wine-searcher.com/find/it+villa+poggio+salvi+vermentino+toscana/2021/#t4,https://images.vivino.com/thumbs/t8wMsIKqRu6uaK7URSXZqg_pb_x600.png,VermentinoToscana2021.png
Illario Rosato 2021,https://www.vivino.com/IT/en/fattoria-di-magliano-illario-rosato-2021/w/1666255,https://www.wine-searcher.com/find/fattoria+di+magliano+illario+rosato/2021/#t4,https://images.vivino.com/thumbs/6XXtN7mrR9OqEcxYaseQtA_pb_x600.png,IllarioRosato2021.png
Masso Vivo Vermentino 2019,https://www.vivino.com/IT/en/tenuta-ammiraglia-tuscany-masso-vivo-vermentino-2019/w/5845377,https://www.wine-searcher.com/find/tenuta+ammiraglia+tuscany+masso+vivo+vermentino/2019/#t4,https://images.vivino.com/thumbs/O9Apk51ASYutRDzEpU37Kw_pb_x600.png,MassoVivoVermentino2019.png
Ghirigoro 2018,https://www.vivino.com/IT/en/it-corliano-ghirigoro-2018/w/1878809,https://www.wine-searcher.com/find/it+corliano+ghirigoro/2018/#t4,https://images.vivino.com/thumbs/zRB7OkZuTa6njE6QGjoooQ_pb_x600.png,Ghirigoro2018.png
Isola Bianca Vernaccia di San Gimignano 2022,https://www.vivino.com/IT/en/teruzzi-isola-bianca-vernaccia-di-san-gimignano-2022/w/6188740,https://www.wine-searcher.com/find/teruzzi+isola+bianca+vernaccia+di+san+gimignano/2022/#t4,https://images.vivino.com/thumbs/hBg9Hw22SXSEZLyy27fwXA_pb_x600.png,IsolaBiancaVernacciadiSanGimignano2022.png
Il Ducale Toscana 2019,https://www.vivino.com/IT/en/ruffino-il-ducale-toscana-2019/w/2182,https://www.wine-searcher.com/find/ruffino+il+ducale+toscana/2019/#t4,https://images.vivino.com/thumbs/I_tgQLPfT5yENwXbrVpGsQ_pb_x600.png,IlDucaleToscana2019.png
Chianti 2021,https://www.vivino.com/IT/en/ricasoli-chianti-2021/w/12210,https://www.wine-searcher.com/find/ricasoli+chianti/2021/#t4,https://images.vivino.com/thumbs/WI2sRtz9R1SOFuSGJHSbrQ_pb_x600.png,Chianti2021.png
Chianti 2021,https://www.vivino.com/IT/en/piccini-tuscany-chianti-2021/w/1598405,https://www.wine-searcher.com/find/piccini+tuscany+chianti/2021/#t4,https://images.vivino.com/thumbs/_qpGWd60REu70cwIMqQHSw_pb_x600.png,Chianti2021.png
